Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Module Development Package - Readiness Review,Repo structure & naming,"The learner submitted a Google Drive folder (their module repo) named to the Per Scholas convention, with every item filed in the correct subfolder (Resources, Lessons, Assignments, Assessments) and every file named to convention. This is the first thing a real developer is trusted to get right, because a whole team navigates a build from file names alone.",false,Exemplary,"The folder and all files follow the naming convention and sit in the correct subfolders. A reviewer can locate any file from its name without opening it. R- appears only where an item is graded, and always-graded items (ALAB, quizzes, KBA/SBA, capstone) are named correctly without it.",7,Proficient,"The structure is mostly right with a few naming or filing errors: a missing prefix, an item in the wrong subfolder, or an inconsistent module number. Close, but a teammate would stumble on a file or two.",4,Needs Improvement,"The convention is not followed. Files are unprefixed, mislabeled, or dumped without subfolders, and a reviewer cannot reliably tell what a file is from its name. Revisit the Unit 1 naming and repo standards.",0
Module Development Package - Readiness Review,Objective handling: given vs authored,"The plan quotes the module objective as Design delivered it and does not rewrite it, then writes lesson objectives from it. Lesson objectives are the developer's own work and must be observable and measurable, one behavior each. Getting this boundary right matters: Design owns the module objective, Development owns how it gets met.",false,Exemplary,"The module objective is quoted as given, and the lesson objectives derived from it are observable, measurable, and single-behavior.",9,Proficient,"The boundary is respected but the lesson objectives need work: a vague verb, two behaviors bundled, or a step that does not clearly build toward the module objective.",5,Needs Improvement,"The module objective has been rewritten or replaced, or no lesson objectives were written. Review who owns which objective before revising.",0
Module Development Package - Readiness Review,Approach and assessment plan,"The plan names the activities, technology, and sequence chosen to meet the objective and says why, then maps each assessment in the naming convention to the objective it measures, ending with a module-end summative the learner performs unaided. These decisions are Development's to make.",false,Exemplary,"Every objective has at least one aligned assessment and every assessment maps to an objective, with no orphans and no gaps. The reasoning behind the approach is stated, including what was ruled out. The module-end summative clearly requires unaided performance, so the learner demonstrates the skill rather than recalling it.",10,Proficient,"An assessment plan exists but alignment is incomplete, the reasoning is asserted rather than explained, or the summative is present but partly guided or leans on recall. The shape is right and the rigor needs tightening.",5,Needs Improvement,"No coherent assessment plan, assessments unmapped to objectives, or no genuine summative competency check. The module would let a learner finish without proving mastery.",0
Module Development Package - Readiness Review,Module blueprint (MBP),"The blueprint lists every item in the module in delivery order, named to convention, with the built files linked. QA and Delivery navigate a build from the blueprint, so it has to match what is actually in the repo. It is a Developing artifact, created as soon as the module has content and kept current as each file is built.",false,Exemplary,"Every item appears in delivery order, named to convention, with built files linked. The blueprint and the repo agree exactly, so a reviewer could work the module from this document alone.",7,Proficient,"A blueprint exists but is incomplete or out of date: missing items, broken or absent links, or an order that does not match the plan. Usable with effort.",4,Needs Improvement,"No blueprint, or a list too partial to navigate the module from. Without it nobody downstream can tell what the module contains.",0
Module Development Package - Readiness Review,Built lesson,"One lesson from the planned module is fully built, not described, and follows the lesson-day rhythm taught in Unit 2: an active warm-up, hands-on practice in the middle that earns the objective, and an exit. This is the depth half of the capstone, and the proof that the learner can execute rather than only plan.",false,Exemplary,"A complete, usable lesson with a clear warm-up, substantive hands-on practice, and an exit. Time skews toward the learner doing rather than the instructor talking, and a facilitator could pick it up and run it.",12,Proficient,"The lesson is built but thin, off-rhythm, or lecture-heavy: for example, lots of presentation with little practice, or a missing warm-up or exit. It needs another pass to meet the activated-learning bar.",6,Needs Improvement,"No built lesson, or only an outline or description rather than real teaching content. Build the lesson to the Unit 2 standard.",0
Module Development Package - Readiness Review,Built activity,"One activity (a guided lab GLAB, or an assignment lab ALAB) is built and gives learners real practice toward the lesson's objective. Activities are where practice happens, so the activity must connect directly to what the objective asks the learner to be able to do, and its steps must survive a room of learners working alone.",false,Exemplary,"The activity gives genuine hands-on practice clearly tied to the lesson objective and is named to convention. Every step has one action, named specifics, and a result the learner can see. Guidance is pitched right for where the activity sits in the module: guided early, more independent later.",9,Proficient,"An activity exists but is only loosely tied to the objective, has steps that would stall a learner working alone, or its guidance level is off: fully guided when it should stretch the learner, or the reverse. Useful but not yet aligned.",5,Needs Improvement,"No activity, or busywork that does not build toward the objective. Reconnect the activity to the behavior the objective names.",0
Module Development Package - Readiness Review,Built assessment: aligned,"One assessment is built that measures the lesson's objective, producing evidence the learner can perform rather than only recognize. Including a real assessment is essential because it proves the learner understood the most important rule of the course: learners demonstrate mastery, they do not simply consume content.",false,Exemplary,"The assessment directly measures the lesson objective and requires the learner to demonstrate the skill. Its type fits the objective (a performance task for a performance objective) and it is named to convention.",10,Proficient,"An assessment is present but partly misaligned to the objective, or it tests recall where the objective calls for performance. The instinct is right and the measurement needs sharpening.",5,Needs Improvement,"No assessment built, or it does not measure the stated objective. Without it the package has not demonstrated the core rule, so add an aligned check.",0
Module Development Package - Readiness Review,Rubric for the graded item,"Every graded item carries a rubric. Criteria come from the objectives rather than from the steps of the activity, levels are distinguishable without reading the points, and the total reconciles with what the gradebook expects. Where the task has an AI component, the three AI Integrity Rubric criteria sit alongside the developer's own.",false,Exemplary,"Every criterion traces to a stated objective, the level descriptions say what is observable at each level in language a reader can tell apart, and the points reconcile. Two reviewers scoring independently would land in the same place.",6,Proficient,"A rubric exists but has soft spots: a criterion drawn from the activity's steps rather than an objective, levels separated by adjectives rather than observable differences, or a total that does not reconcile.",3,Needs Improvement,"No rubric on a graded item, or a rating scale with adjectives and no observable descriptions. Rebuild the criteria from the objectives.",0
Module Development Package - Readiness Review,Facilitator guide: teachable by a stranger,"A facilitator-guide section for the built lesson, written for an instructor who was in none of the design conversations. Our job is making a course runnable without us, so this is where design intent survives the handoff. A guide that only lists what happens is a schedule, not a guide.",false,Exemplary,"Purpose per activity, timing and setup, where learners predictably get stuck and how to respond, look-fors on the assessment, and contingencies for a room that is ahead, behind, or an environment that fails. A stranger could run this lesson well from the guide alone.",8,Proficient,"A guide exists but is missing a load-bearing part, most often the pitfalls or the contingencies, or it duplicates learner-facing content without adding the teaching layer. It would leave an instructor guessing at intent.",4,Needs Improvement,"No facilitator guidance, a blank section, or a note pointing the instructor back to the author. The lesson cannot be handed over as built.",0
Module Development Package - Readiness Review,Activated learning & competency focus,"Across the built package, learners spend their time doing, deciding, and producing rather than passively consuming, and the scaffolding supports independent performance rather than hand-holding to the end. This is the throughline of everything Product Development builds.",false,Exemplary,"The package is strongly active and built to have the learner demonstrate mastery. Guided support is present where useful but clearly fades toward independent work.",7,Proficient,"Some active elements, but the package leans passive or stays guided throughout, so the learner is shown more than they prove. Shift more time to doing.",4,Needs Improvement,"Mostly passive content with no real demonstration of mastery. Rework so learners perform rather than only receive.",0
Module Development Package - Readiness Review,Accessibility built in,"Accessibility is planned into the materials from the start (alt text on images, sufficient color contrast, captions for media, keyboard-navigable interactions, real headings, selectable code) rather than treated as a later fix. Our learners include people who rely on these, so it is a build-time standard and a launch prerequisite.",false,Exemplary,"Accessibility is evident in the built materials themselves: images have descriptive alt text, contrast passes, media is captioned, headings are real and in order, and interactions do not depend on a mouse alone.",5,Proficient,"Some accessibility is considered but gaps remain, such as missing alt text, unlabeled media, code pasted as an image, or uncertain contrast.",3,Needs Improvement,"Accessibility is absent or clearly bolted on. Revisit the accessibility prerequisites and build them into the materials.",0
Module Development Package - Readiness Review,"AI use: disclosed, verified, owned","A short record of what was drafted with an AI assistant, what was verified and how, what was corrected or cut, and what the developer wrote themselves. Using AI heavily is fine and expected here. Handing over the judgement is not, and the two look similar from the outside, which is why the record matters.",false,Exemplary,"The record names what AI drafted, what was checked and against what source, and what was rewritten or removed. Claims in the materials trace to something real, and ownership is unambiguous.",5,Proficient,"AI use is disclosed but the record is thin: verification asserted rather than described, or no account of what was changed. Say what you actually checked.",3,Needs Improvement,"No record, or material that shows unexamined AI output: invented statistics, unverified paths or commands, off-objective filler, or marketing voice. Verify and rewrite before this goes further.",0
Module Development Package - Readiness Review,Overall: ready to build?,"The reviewer's headline judgment, in the language the course uses: taking the whole package together, is this developer's work ready to go to development? This is the verdict that matters most, because it tells the new developer where they stand and what, if anything, to revise before real production.",false,Exemplary,"Taken as a whole, this package could go to development as built. The plan is sound, the built slice meets standard, and it is filed correctly. Strong first work.",5,Proficient,"Close. The foundation is solid but specific items flagged above need revision before this would be buildable. Give the learner clear, targeted feedback and a second pass.",2,Needs Improvement,"Not ready. Core gaps in the plan, the built slice, or the conventions must be resolved before this module could move to build. Review the flagged criteria together.",0
